Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
DRA12,CHUKWUDI010,DRA12_CHUKWUDI010,11.6,Low Fat,0.068535039,Soft Drinks,357.54,2005,,Cluster 3,Grocery Store,709.08
DRA12,CHUKWUDI013,DRA12_CHUKWUDI013,11.6,Low Fat,0.040911824,Soft Drinks,355.79,1994,High,Cluster 3,Supermarket Type1,6381.69
DRA12,CHUKWUDI017,DRA12_CHUKWUDI017,11.6,Low Fat,0.041177505,Soft Drinks,350.79,2014,,Cluster 2,Supermarket Type1,6381.69
DRA12,CHUKWUDI018,DRA12_CHUKWUDI018,11.6,Low Fat,0.041112694,Soft Drinks,355.04,2016,Medium,Cluster 3,Supermarket Type2,2127.23
DRA12,CHUKWUDI035,DRA12_CHUKWUDI035,11.6,Ultra Low fat,0,Soft Drinks,354.79,2011,Small,Cluster 2,Supermarket Type1,2481.77
DRA12,CHUKWUDI045,DRA12_CHUKWUDI045,11.6,Low Fat,0,Soft Drinks,354.04,2009,,Cluster 2,Supermarket Type1,9572.54
DRA24,CHUKWUDI010,DRA24_CHUKWUDI010,19.35,Normal Fat,0.066831682,Soft Drinks,409.72,2005,,Cluster 3,Grocery Store,818.93
DRA24,CHUKWUDI013,DRA24_CHUKWUDI013,19.35,Normal Fat,0.039895009,Soft Drinks,406.22,1994,High,Cluster 3,Supermarket Type1,11055.61
DRA24,CHUKWUDI017,DRA24_CHUKWUDI017,19.35,Normal Fat,0.040154087,Soft Drinks,411.72,2014,,Cluster 2,Supermarket Type1,2866.27
DRA24,CHUKWUDI019,DRA24_CHUKWUDI019,,Normal Fat,0.069909188,Soft Drinks,408.22,1992,Small,Cluster 1,Grocery Store,1228.4
DRA24,CHUKWUDI027,DRA24_CHUKWUDI027,,Normal Fat,0.039734882,Soft Drinks,414.47,1992,Medium,Cluster 3,Supermarket Type3,12284.01
DRA24,CHUKWUDI035,DRA24_CHUKWUDI035,19.35,Normal Fat,0.039920687,Soft Drinks,408.47,2011,Small,Cluster 2,Supermarket Type1,8598.81
DRA24,CHUKWUDI049,DRA24_CHUKWUDI049,19.35,Normal Fat,0.039990314,Soft Drinks,412.72,2006,Medium,Cluster 1,Supermarket Type1,2456.8
DRA59,CHUKWUDI017,DRA59_CHUKWUDI017,8.27,Normal Fat,0,Soft Drinks,458.23,2014,,Cluster 2,Supermarket Type1,6015.5
DRA59,CHUKWUDI018,DRA59_CHUKWUDI018,8.27,Normal Fat,0.128449055,Soft Drinks,466.48,2016,Medium,Cluster 3,Supermarket Type2,11105.54
DRA59,CHUKWUDI019,DRA59_CHUKWUDI019,,Normal Fat,0.223985293,Soft Drinks,465.73,1992,Small,Cluster 1,Grocery Store,1388.19
DRA59,CHUKWUDI027,DRA59_CHUKWUDI027,,Normal Fat,0.127308434,Soft Drinks,466.73,1992,Medium,Cluster 3,Supermarket Type3,17583.78
DRA59,CHUKWUDI046,DRA59_CHUKWUDI046,8.27,Normal Fat,0.127927931,Soft Drinks,462.23,2004,Small,Cluster 1,Supermarket Type1,11105.54
DRA59,CHUKWUDI049,DRA59_CHUKWUDI049,8.27,Normal Fat,0.128126825,Soft Drinks,459.23,2006,Medium,Cluster 1,Supermarket Type1,3239.12
DRB01,CHUKWUDI027,DRB01_CHUKWUDI027,,Low Fat,0.081841136,Soft Drinks,475.13,1992,Medium,Cluster 3,Supermarket Type3,1423.15
DRB01,CHUKWUDI049,DRB01_CHUKWUDI049,7.39,Low Fat,0.082367244,Soft Drinks,469.38,2006,Medium,Cluster 1,Supermarket Type1,3795.06
DRB13,CHUKWUDI017,DRB13_CHUKWUDI017,6.115,Normal Fat,0.007084185,Soft Drinks,477.88,2014,,Cluster 2,Supermarket Type1,8538.89
DRB13,CHUKWUDI035,DRB13_CHUKWUDI035,6.115,Normal Fat,0.007043008,Soft Drinks,475.88,2011,Small,Cluster 2,Supermarket Type1,1423.15
DRB13,CHUKWUDI049,DRB13_CHUKWUDI049,6.115,Normal Fat,0.007055292,Soft Drinks,471.63,2006,Medium,Cluster 1,Supermarket Type1,9013.27
DRB24,CHUKWUDI017,DRB24_CHUKWUDI017,8.785,Low Fat,0.020693619,Soft Drinks,382.91,2014,,Cluster 2,Supermarket Type1,4633.97
DRB24,CHUKWUDI035,DRB24_CHUKWUDI035,8.785,Low Fat,0.020573334,Soft Drinks,391.16,2011,Small,Cluster 2,Supermarket Type1,5406.3
DRB24,CHUKWUDI045,DRB24_CHUKWUDI045,8.785,Low Fat,0.020618957,Soft Drinks,382.66,2009,,Cluster 2,Supermarket Type1,10426.43
DRB24,CHUKWUDI049,DRB24_CHUKWUDI049,8.785,Low Fat,0.020609218,Soft Drinks,387.91,2006,Medium,Cluster 1,Supermarket Type1,10040.26
DRB25,CHUKWUDI010,DRB25_CHUKWUDI010,12.3,Low Fat,0.116261335,Soft Drinks,267.73,2005,,Cluster 3,Grocery Store,535.97
DRB25,CHUKWUDI013,DRB25_CHUKWUDI013,12.3,Low Fat,0.069401919,Soft Drinks,269.98,1994,High,Cluster 3,Supermarket Type1,5091.71
DRB25,CHUKWUDI018,DRB25_CHUKWUDI018,12.3,Low Fat,0.069742672,Soft Drinks,265.73,2016,Medium,Cluster 3,Supermarket Type2,4287.75
DRB48,CHUKWUDI010,DRB48_CHUKWUDI010,16.75,Normal Fat,0.041599644,Soft Drinks,102.46,2005,,Cluster 3,Grocery Store,392.82
DRB48,CHUKWUDI013,DRB48_CHUKWUDI013,16.75,Normal Fat,0.024832806,Soft Drinks,96.96,1994,High,Cluster 3,Supermarket Type1,1669.49
DRC01,CHUKWUDI013,DRC01_CHUKWUDI013,5.92,Normal Fat,0.019184026,Soft Drinks,125.92,1994,High,Cluster 3,Supermarket Type1,1478.08
DRC12,CHUKWUDI017,DRC12_CHUKWUDI017,17.85,Low Fat,0.038040837,Soft Drinks,472.8,2014,,Cluster 2,Supermarket Type1,8092.8
DRC12,CHUKWUDI035,DRC12_CHUKWUDI035,17.85,Low Fat,0.03781972,Soft Drinks,479.05,2011,Small,Cluster 2,Supermarket Type1,6188.61
DRC12,CHUKWUDI046,DRC12_CHUKWUDI046,17.85,Low Fat,0.037826873,Soft Drinks,474.3,2004,Small,Cluster 1,Supermarket Type1,5712.56
DRC12,CHUKWUDI049,DRC12_CHUKWUDI049,17.85,Low Fat,0.037885683,Soft Drinks,476.05,2006,Medium,Cluster 1,Supermarket Type1,2380.24
DRC13,CHUKWUDI017,DRC13_CHUKWUDI017,8.26,Normal Fat,0.032625074,Soft Drinks,311.68,2014,,Cluster 2,Supermarket Type1,4618.99
DRC13,CHUKWUDI018,DRC13_CHUKWUDI018,8.26,Normal Fat,0.032573725,Soft Drinks,312.68,2016,Medium,Cluster 3,Supermarket Type2,2463.46
DRC24,CHUKWUDI017,DRC24_CHUKWUDI017,17.85,Low Fat,0.024961677,Soft Drinks,383,2014,,Cluster 2,Supermarket Type1,8458.99
DRC24,CHUKWUDI018,DRC24_CHUKWUDI018,17.85,Low Fat,0.02492239,Soft Drinks,383.75,2016,Medium,Cluster 3,Supermarket Type2,7305.49
DRC25,CHUKWUDI010,DRC25_CHUKWUDI010,5.73,Low Fat,0.075943184,Soft Drinks,213.97,2005,,Cluster 3,Grocery Store,429.44
DRC25,CHUKWUDI013,DRC25_CHUKWUDI013,5.73,Low Fat,0.045334098,Soft Drinks,217.72,1994,High,Cluster 3,Supermarket Type1,4509.13
