customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,good_bad_flag
8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,2017-07-25 08:22:56.000000,2017-07-25 07:22:47.000000,30000.0000,34500.0000,30,,Good
8a85886e54beabf90154c0a29ae757c0,301965204,2,2017-07-05 17:04:41.000000,2017-07-05 16:04:18.000000,15000.0000,17250.0000,30,,Good
8a8588f35438fe12015444567666018e,301966580,7,2017-07-06 14:52:57.000000,2017-07-06 13:52:51.000000,20000.0000,22250.0000,15,,Good
8a85890754145ace015429211b513e16,301999343,3,2017-07-27 19:00:41.000000,2017-07-27 18:00:35.000000,10000.0000,11500.0000,15,,Good
8a858970548359cc0154883481981866,301962360,9,2017-07-03 23:42:45.000000,2017-07-03 22:42:39.000000,40000.0000,44000.0000,30,,Good
8a8589f35451855401546b0738c42524,301986516,8,2017-07-19 21:46:24.000000,2017-07-19 20:46:18.000000,30000.0000,39000.0000,60,,Good
8a858e095c59b91b015c5e5cea3719bc,301972027,3,2017-07-10 19:25:33.000000,2017-07-10 18:25:28.000000,10000.0000,13000.0000,30,,Good
8a858e1158dc4d830158f7bde4f47ea7,301994428,10,2017-07-24 23:42:27.000000,2017-07-24 22:42:21.000000,30000.0000,34500.0000,30,,Good
8a858e185b4923b4015b4ae48d28646a,301996687,4,2017-07-26 10:53:05.000000,2017-07-26 09:52:57.000000,10000.0000,11500.0000,15,,Good
8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,2017-07-17 13:48:42.000000,2017-07-17 12:48:35.000000,10000.0000,11500.0000,15,,Good
8a858e245c214660015c2ba8187976f7,301962365,2,2017-07-03 23:49:10.000000,2017-07-03 22:49:03.000000,10000.0000,13000.0000,30,,Good
8a858e345bd96da8015be6b9f8bc10c7,301960371,3,2017-07-02 21:59:20.000000,2017-07-02 20:59:14.000000,10000.0000,13000.0000,30,,Bad
8a858e395cb1d4d9015cb236b4811cbc,301999914,2,2017-07-28 07:15:32.000000,2017-07-28 06:15:25.000000,10000.0000,11500.0000,15,,Good
8a858e4456ced8470156dc8f1f4038d3,301995555,11,2017-07-25 16:13:30.000000,2017-07-25 15:13:23.000000,40000.0000,44000.0000,30,,Good
8a858e5357d823010157d932443d28a3,301983540,13,2017-07-18 11:00:05.000000,2017-07-18 09:59:56.000000,40000.0000,44000.0000,30,,Good
8a858e5b5bd99460015bdf725e143ff4,301967889,3,2017-07-07 12:20:59.000000,2017-07-07 11:20:50.000000,10000.0000,13000.0000,30,,Good
8a858e645755e62201576b58e3522081,301958834,3,2017-07-01 11:44:57.000000,2017-07-01 10:44:51.000000,10000.0000,11500.0000,15,,Good
8a858e6c5bd3fbff015bd408ac3e067a,301993535,2,2017-07-24 14:37:13.000000,2017-07-24 13:37:06.000000,10000.0000,11500.0000,15,8a858ef458d4a52e0158d858eb5d6456,Bad
8a858e705668e16701567f1523211e5a,301985106,15,2017-07-19 08:17:32.000000,2017-07-19 07:17:24.000000,40000.0000,44000.0000,30,,Good
8a858e7d595026f8015951c0c4a03fae,301959458,10,2017-07-01 21:50:24.000000,2017-07-01 20:50:19.000000,30000.0000,34500.0000,30,,Good
8a858e885c17687c015c19eead6338fd,301964283,3,2017-07-05 07:34:08.000000,2017-07-05 06:34:02.000000,10000.0000,13000.0000,30,8a858ff85bd93919015bda56605652bd,Good
8a858e8f5d41c974015d4b7f31865627,302003432,2,2017-07-30 13:26:07.000000,2017-07-30 12:25:59.000000,10000.0000,11500.0000,15,8a858e495d1e235c015d30d5ddb42149,Bad
8a858e9b5a195041015a1a602a51519d,301976439,7,2017-07-13 17:38:01.000000,2017-07-13 16:37:55.000000,25000.0000,28750.0000,30,,Good
8a858ea555d9e6020155f489c9b237f8,301973446,3,2017-07-11 17:22:01.000000,2017-07-11 16:21:55.000000,10000.0000,13000.0000,30,,Good
8a858eb05d2d1297015d313b03581809,301999087,2,2017-07-27 16:22:07.000000,2017-07-27 15:22:01.000000,10000.0000,13000.0000,30,,Good
8a858eb85c1be44c015c1c4b667d25ee,301963210,3,2017-07-04 13:53:57.000000,2017-07-04 12:53:49.000000,10000.0000,13000.0000,30,,Good
8a858ec75bfd77c4015c0d841520351c,301959286,4,2017-07-01 18:36:47.000000,2017-07-01 17:36:40.000000,20000.0000,24500.0000,30,,Good
8a858ed35cc5ce51015cc60f40f522b4,301981535,2,2017-07-17 10:33:52.000000,2017-07-17 09:33:45.000000,10000.0000,11500.0000,15,8a858edc59ee87640159eeb9774f1aa7,Good
8a858edb5ad79cc6015ad7c9b29415c8,301981500,5,2017-07-17 10:17:01.000000,2017-07-17 09:15:48.000000,20000.0000,22250.0000,15,,Good
8a858ee55830c4b90158337542ab18a1,301972649,6,2017-07-11 09:28:30.000000,2017-07-11 08:27:20.000000,10000.0000,13000.0000,30,,Bad
8a858eec5ca21dcb015ca2493dee1e2d,301966278,2,2017-07-06 11:39:24.000000,2017-07-06 10:39:18.000000,10000.0000,13000.0000,30,,Good
8a858ef75997d0180159a695b01e2c4c,301989547,5,2017-07-21 15:43:59.000000,2017-07-21 14:43:53.000000,20000.0000,24500.0000,30,,Good
